team,age,name,line,ppu,position_yahoo,position,rollup,vorp,yahoo_rank,rp,rp_vorp,rp_arbitrage,round
TB,22.0,Mikhail Sergachev,2.0,2.0,D,D,39.3,-0.7,169.5,33.5,21.0,12.5,15.0
Bos,31.0,Craig Smith,3.0,2.0,RW,RW,40.7,-10.3,170.0,51.0,44.0,7.0,15.0
Nsh,28.0,Ryan Johansen,1.0,1.0,C,C,36.2,-18.9,170.5,45.5,52.0,-6.5,15.0
Edm,29.0,Tyson Barrie,2.0,1.0,D,D,36.3,-3.8,170.5,35.0,40.0,-5.0,15.0
Buf,25.0,Sam Reinhart,2.0,1.0,"C,RW",C,35.5,-19.6,170.5,45.5,54.0,-8.5,15.0
Buf,25.0,Sam Reinhart,2.0,1.0,"C,RW",RW,35.5,-15.5,170.5,52.0,69.0,-17.0,15.0
Ott,23.0,Thomas Chabot,1.0,1.0,D,D,36.4,-3.7,171.0,36.0,38.5,-2.5,15.0
Pit,28.0,Jason Zucker,2.0,2.0,"LW,RW",RW,40.0,-11.0,172.0,53.0,50.0,3.0,15.0
Pit,28.0,Jason Zucker,2.0,2.0,"LW,RW",LW,40.0,-13.7,172.0,54.0,48.5,5.5,15.0
Min,36.0,Zach Parise,1.0,1.0,LW,LW,38.5,-15.3,172.5,55.0,53.0,2.0,15.0
Dal,28.0,John Klingberg,1.0,1.0,D,D,37.0,-3.1,174.5,37.0,34.0,3.0,15.0
Ari,33.0,Phil Kessel,1.0,1.0,RW,RW,38.2,-12.9,177.5,54.0,57.5,-3.5,15.0
StL,27.0,Colton Parayko,1.0,2.0,D,D,37.8,-2.3,178.0,38.0,31.0,7.0,15.0
Det,25.0,Tyler Bertuzzi,1.0,1.0,"LW,RW",LW,34.4,-19.4,179.0,56.5,71.0,-14.5,15.0
Ari,22.0,Clayton Keller,2.0,1.0,"LW,RW",RW,35.0,-16.1,179.0,55.5,74.0,-18.5,15.0
Det,25.0,Tyler Bertuzzi,1.0,1.0,"LW,RW",RW,34.4,-16.6,179.0,55.5,77.0,-21.5,15.0
Ari,22.0,Clayton Keller,2.0,1.0,"LW,RW",LW,35.0,-18.8,179.0,56.5,69.0,-12.5,15.0
Mon,30.0,Jake Allen,,,G,G,29.5,-32.8,179.5,24.5,43.0,-18.5,15.0
Cgy,31.0,Mikael Backlund,3.0,2.0,"C,RW",C,39.5,-15.5,179.5,47.0,43.0,4.0,15.0
Cgy,31.0,Mikael Backlund,3.0,2.0,"C,RW",RW,39.5,-11.5,179.5,57.0,52.0,5.0,15.0
Edm,32.0,Mikko Koskinen,,,G,G,47.0,-15.3,179.5,24.5,25.0,-0.5,15.0
Col,25.0,Ryan Graves,3.0,,D,D,36.6,-3.4,181.5,39.0,35.0,4.0,16.0
Phi,28.0,Kevin Hayes,2.0,1.0,C,C,37.5,-17.6,181.5,48.0,47.0,1.0,16.0
NYR,26.0,Jacob Trouba,1.0,2.0,D,D,36.3,-3.7,182.0,40.0,38.5,1.5,16.0
Cls,33.0,Nick Foligno,2.0,2.0,"LW,RW",RW,39.3,-11.7,182.5,58.5,53.0,5.5,16.0
Cls,33.0,Nick Foligno,2.0,2.0,"LW,RW",LW,39.3,-14.4,182.5,58.5,50.0,8.5,16.0
