position,name,ros_total,ros_mean,week_points
WR,Jarvis Landry,92.7,9.27,9.0
WR,Jason Avant,9.3,0.8454545454545455,0.9
WR,Jeff Janis,7.0,0.6363636363636364,0.6
WR,Jeremy Butler,14.8,1.48,1.5
WR,Jeremy Kerley,50.4,5.04,5.3
WR,Jeremy Maclin,89.7,8.154545454545454,8.5
WR,Jermaine Kearse ,57.1,5.190909090909091,5.1
WR,John Brown,57.9,5.79,5.1
WR,Johnny Holton,2.0,0.2,0.2
WR,Jordan Matthews,86.2,7.836363636363636,6.7
WR,Jordan Norwood,19.900000000000002,1.99,1.8
WR,Jordan Payton,0.09,0.09,0.09
WR,Jordan Taylor,-1.6099999999999999,-0.161,-0.21
WR,Jordy Nelson,130.4,11.854545454545454,12.1
WR,Josh Bellamy,13.7,1.37,3.6
WR,Josh Doctson,32.1,3.566666666666667,NA
WR,Josh Huff,26.7,2.4272727272727272,2.1
WR,Julian Edelman,61.7,6.17,6.1
WR,Julio Jones,151.1,15.11,16.8
WR,Justin Hardy,30.7,3.0700000000000003,3.1
WR,Justin Hunter,14.9,1.49,1.5
WR,Kamar Aiken,38.0,3.8,4.2
WR,Keith Mumphery,4.8,0.48,0.4
WR,Kelvin Benjamin,102.5,10.25,NA
WR,Kendall Wright,45.3,4.53,4.6
WR,Kenny Britt,95.2,9.52,9.8
WR,Kenny Stills,50.2,5.0200000000000005,4.9
WR,Kevin Norwood,0.1,0.1,NA
WR,Kolby Listenbee,-0.1,-0.01,-0.01
WR,Laquon Treadwell,5.8,0.5272727272727272,0.5
WR,Larry Fitzgerald,103.3,10.33,9.2
WR,Leonte Carroo,3.2,0.32,0.3
WR,Louis Murphy,14.1,1.2818181818181817,1.3
WR,Lucky Whitehead,4.6,0.46,NA
WR,Malcolm Mitchell,7.6,0.76,0.7
WR,Marc Mariani,14.2,1.42,1.4
WR,Marcus Easley,3.6,0.36,0.4
WR,Markus Wheaton,44.5,4.45,2.4
WR,Marqise Lee,48.4,4.4,5.1
WR,Marquess Wilson,25.1,2.5100000000000002,1.7
WR,Marquise Goodwin,46.3,4.63,4.7
WR,Marvin Jones,111.8,11.18,10.8
WR,Matt Slater,0.41000000000000003,0.041,0.04
WR,Michael Crabtree,93.2,9.32,10.1
WR,Michael Floyd,72.0,7.2,6.4
WR,Michael Thomas,84.8,7.709090909090909,8.6
WR,Mike Evans,124.1,11.281818181818181,11.4
WR,Mike Wallace,75.4,7.54,8.3
WR,Mohamed Sanu,53.1,5.3100000000000005,5.4
WR,Nelson Agholor,46.4,4.218181818181819,3.6
WR,Nelson Spruce,0.6,0.06,0.06
WR,Odell Beckham,115.5,11.55,11.7
WR,Paul Richardson,16.5,1.5,1.5
WR,Pharoh Cooper,14.5,1.45,1.5
WR,Phillip Dorsett,40.2,4.0200000000000005,3.9
WR,Philly Brown,45.7,4.57,NA
WR,Pierre Garcon,66.7,6.67,7.1
WR,Quincy Enunwa,83.1,8.31,8.4
WR,Quinton Patton,36.8,3.68,3.9
WR,Randall Cobb,60.8,5.527272727272727,9.3
WR,Rashad Greene,16.0,1.4545454545454546,1.7
WR,Rashad Ross,6.699999999999999,0.6699999999999999,1.4
WR,Rashard Higgins,1.3,0.13,0.4
WR,Ricardo Louis,14.4,1.44,3.8
WR,Rishard Matthews,66.6,6.66,6.6
WR,Robby Anderson,14.2,1.42,1.4
WR,Robert Woods,72.0,7.2,7.4
WR,Rod Streater,6.6,0.6599999999999999,0.7
WR,Russell Shepard,22.8,2.0727272727272728,2.1
WR,Ryan Grant,14.4,1.44,1.5
WR,Sammie Coates,80.0,8.0,5.3
WR,Seth Roberts,48.2,4.82,5.2
WR,Seyi Ajirotutu,0.54,0.049090909090909095,0.05
WR,Stedman Bailey,15.2,1.52,1.5
WR,Stefon Diggs,84.8,7.709090909090909,7.1
WR,Sterling Shepard,73.5,7.35,7.5
WR,Steve Smith,67.0,6.7,7.3
WR,T.Y. Hilton,85.8,8.58,9.1
WR,Tajae Sharpe,50.9,5.09,5.1
WR,Tanner McEvoy,15.7,1.4272727272727272,1.4
WR,Tavarres King,0.1,0.01,0.01
WR,Tavon Austin,66.1,6.61,6.8
WR,Taylor Gabriel,10.200000000000001,1.02,1.0
WR,Ted Ginn Jr.,70.8,7.08,NA
WR,Terrance Williams,64.7,6.47,NA
WR,Terrelle Pryor,63.7,6.37,8.3
WR,Tommylee Lewis,7.5,0.6818181818181818,0.7
WR,Torrey Smith,69.0,6.9,7.3
WR,Travis Benjamin,60.6,6.0600000000000005,6.4
WR,Trevor Davis,0.0,0.0,-0.0
WR,Ty Montgomery,31.1,2.827272727272727,5.6
WR,Tyler Boyd,30.6,3.06,2.6
WR,Tyler Lockett,55.0,5.0,4.9
WR,Tyreek Hill,23.2,2.109090909090909,2.2
WR,Tyrell Williams,81.3,8.129999999999999,8.5
WR,Victor Cruz,40.0,4.0,4.0
WR,Walter Powell,1.2000000000000002,0.12000000000000001,0.1
WR,Wes Welker,12.2,1.22,1.3
WR,Will Fuller,59.9,5.99,4.8
WR,Willie Snead,84.4,7.672727272727273,7.2
