ADP,PLAYER,POS,TEAM,GP,TOI,G,A,P,+/-,SOG,HIT,BLK,PPP,GWG,SHO,W,SV%,GAA,SV,SA,TOTAL
171.0,Sean Durzi,D,LAK,64,19.6,0.06,0.39,0.45,-0.14,1.86,1.23,1.94,0.16,0.00,,,(/),,,,-2.96
171.6,Jamie Benn,"C,LW",DAL,79,17.4,0.19,0.30,0.49,-0.01,2.12,1.63,0.66,0.15,0.03,,,(/),,,,-1.69
171.8,Marcus Foligno,"LW,RW",MIN,69,14.7,0.21,0.23,0.43,0.23,1.13,3.01,0.61,0.04,0.02,,,(/),,,,-1.94
171.9,Ondrej Palat,LW,NJD,75,16.5,0.21,0.40,0.61,0.20,1.79,1.49,0.61,0.14,0.03,,,(/),,,,-0.06
172.1,Vitek Vanecek,G,NJD,43,60.0,,,,,,,,,,0.07,0.51,0.908 (28.9/31.9),2.68,28.93,31.87,-0.32
172.5,Andrew Copp,"C,RW",DET,74,17.3,0.24,0.39,0.64,0.08,2.47,0.82,0.51,0.09,0.04,,,(/),,,,-0.57
172.7,Kaapo Kahkonen,G,SJS,44,60.0,,,,,,,,,,0.02,0.43,0.909 (27.3/30.0),2.87,27.27,30.00,-2.86
173.4,Ryan Pulock,D,NYI,71,21.7,0.09,0.37,0.45,0.09,2.00,1.66,2.08,0.08,0.01,,,(/),,,,-0.56
173.8,Chandler Stephenson,"C,RW",VGK,74,16.5,0.24,0.53,0.77,0.22,1.16,0.84,0.50,0.09,0.03,,,(/),,,,-0.71
173.8,Blake Coleman,"LW,RW",CGY,79,15.6,0.23,0.20,0.43,0.12,2.30,2.10,0.49,0.02,0.02,,,(/),,,,-2.51
174.1,Jeff Skinner,LW,BUF,77,16.5,0.34,0.40,0.74,-0.22,2.90,0.35,0.22,0.09,0.03,,,(/),,,,-1.99
174.8,Conor Garland,"LW,RW",VAN,71,15.8,0.27,0.49,0.76,0.08,2.77,0.51,0.28,0.17,0.03,,,(/),,,,0.70
175.7,Carter Verhaeghe,LW,FLO,68,14.9,0.34,0.53,0.87,0.21,2.08,0.57,0.20,0.03,0.03,,,(/),,,,0.15
176.7,Stuart Skinner,G,EDM,28,60.0,,,,,,,,,,0.02,0.64,0.909 (26.4/29.0),3.69,26.37,29.00,-2.41
