source,fetched_at,team,position,name,goals,assists,plus_minus,powerplay_points,shots_on_goal,hits,blocks,wins,saves,save_percentage,goals_against_average,shutouts
CBS,2021-01-07 08:20:41.125491,ARI,RW,Conor Garland,17.07,13.44,-6.06,4.24,118.51,,,,,,,
CBS,2021-01-07 08:20:41.125491,BOS,LW,Jake DeBrusk,17.2,11.43,-0.55,3.58,149.66,,,,,,,
CBS,2021-01-07 08:20:41.125491,OTT,RW,Connor Brown,11.71,19.91,-0.78,2.21,125.34,,,,,,,
CBS,2021-01-07 08:20:41.125491,WAS,D,John Carlson,10.82,46.78,-4.12,13.88,160.75,,,,,,,
CBS,2021-01-07 08:20:41.125491,COL,D,Cale Makar,12.94,37.55,3.11,11.35,137.47,,,,,,,
CBS,2021-01-07 08:20:41.125491,CAR,D,Dougie Hamilton,16.84,28.55,7.23,7.55,214.35,,,,,,,
CBS,2021-01-07 08:20:41.125491,TB,D,Victor Hedman,13.5,33.6,0.21,11.35,153.43,,,,,,,
CBS,2021-01-07 08:20:41.125491,NSH,D,Roman Josi,10.95,35.55,3.71,10.66,230.97,,,,,,,
CBS,2021-01-07 08:20:41.125491,NYR,D,Tony DeAngelo,12.69,31.07,7.35,8.88,118.43,,,,,,,
CBS,2021-01-07 08:20:41.125491,LV,D,Alex Pietrangelo,13.2,30.7,2.94,10.38,220.06,,,,,,,
CBS,2021-01-07 08:20:41.125491,LV,D,Shea Theodore,13.26,30.17,2.97,9.95,235.21,,,,,,,
CBS,2021-01-07 08:20:41.125491,STL,D,Torey Krug,8.07,33.56,-3.72,11.92,143.98,,,,,,,
CBS,2021-01-07 08:20:41.125491,VAN,D,Quinn Hughes,6.24,38.06,-3.15,10.64,88.18,,,,,,,
CBS,2021-01-07 08:20:41.125491,PIT,D,Kris Letang,12.99,24.05,-5.04,7.44,168.19,,,,,,,
CBS,2021-01-07 08:20:41.125491,MIN,D,Ryan Suter,6.43,32.06,1.98,8.07,92.39,,,,,,,
CBS,2021-01-07 08:20:41.125491,NYR,D,Adam Fox,6.65,26.56,13.67,5.66,97.84,,,,,,,
CBS,2021-01-07 08:20:41.125491,DAL,D,John Klingberg,7.32,29.27,-1.45,7.99,104.31,,,,,,,
CBS,2021-01-07 08:20:41.125491,CLB,D,Zach Werenski,15.82,17.14,2.65,6.64,167.74,,,,,,,
CBS,2021-01-07 08:20:41.125491,BUF,D,Rasmus Dahlin,3.56,30.96,0.83,8.88,75.52,,,,,,,
CBS,2021-01-07 08:20:41.125491,NSH,D,Ryan Ellis,8.18,28.31,3.71,4.91,146.78,,,,,,,
CBS,2021-01-07 08:20:41.125491,CGY,D,Mark Giordano,4.85,27.88,7.65,5.68,141.04,,,,,,,
CBS,2021-01-07 08:20:41.125491,WPG,D,Neal Pionk,4.45,27.54,-0.79,11.41,131.29,,,,,,,
CBS,2021-01-07 08:20:41.125491,SJ,D,Erik Karlsson,5.69,29.86,-0.28,8.14,117.7,,,,,,,
CBS,2021-01-07 08:20:41.125491,DAL,D,Miro Heiskanen,8.73,27.44,4.22,4.41,121.51,,,,,,,
CBS,2021-01-07 08:20:41.125491,MIN,D,Jared Spurgeon,12.37,18.93,2.26,6.88,105.2,,,,,,,
CBS,2021-01-07 08:20:41.125491,SJ,D,Brent Burns,8.58,23.87,-0.28,8.15,175.87,,,,,,,
CBS,2021-01-07 08:20:41.125491,MON,D,Shea Weber,12.32,16.33,1.02,4.72,166.65,,,,,,,
CBS,2021-01-07 08:20:41.125491,EDM,D,Oscar Klefbom,4.72,27.8,-1.67,7.88,140.82,,,,,,,
CBS,2021-01-07 08:20:41.125491,COL,D,Devon Toews,6.5,23.64,7.03,5.3,98.68,,,,,,,
CBS,2021-01-07 08:20:41.125491,NJ,D,Damon Severson,7.25,20.12,5.9,4.77,87.63,,,,,,,
CBS,2021-01-07 08:20:41.125491,VAN,D,Alexander Edler,3.84,25.46,5.06,2.41,99.15,,,,,,,
CBS,2021-01-07 08:20:41.125491,FLA,D,Keith Yandle,3.41,27.82,-1.76,9.19,98.82,,,,,,,
CBS,2021-01-07 08:20:41.125491,PHI,D,Ivan Provorov,10.31,18.42,-0.92,7.07,115.38,,,,,,,
CBS,2021-01-07 08:20:41.125491,TB,D,Mikhail Sergachev,7.98,17.89,0.21,5.84,104.16,,,,,,,
CBS,2021-01-07 08:20:41.125491,TOR,D,Morgan Rielly,4.4,25.61,1.49,4.76,153.97,,,,,,,
CBS,2021-01-07 08:20:41.125491,OTT,D,Thomas Chabot,4.39,24.33,-0.78,6.09,134.77,,,,,,,
CBS,2021-01-07 08:20:41.125491,COL,D,Samuel Girard,3.5,25.87,3.11,5.94,85.72,,,,,,,
CBS,2021-01-07 08:20:41.125491,LA,D,Drew Doughty,5.53,21.17,-1.79,7.51,130.32,,,,,,,
CBS,2021-01-07 08:20:41.125491,MON,D,Jeff Petry,8.43,20.19,-4.1,5.44,125.84,,,,,,,
CBS,2021-01-07 08:20:41.125491,VAN,D,Nate Schmidt,6.67,23.24,-1.39,4.65,134.67,,,,,,,
CBS,2021-01-07 08:20:41.125491,EDM,D,Tyson Barrie,3.99,26.09,-1.67,5.8,126.48,,,,,,,
CBS,2021-01-07 08:20:41.125491,CLB,D,Seth Jones,5.8,22.62,-2.26,6.2,131.6,,,,,,,
CBS,2021-01-07 08:20:41.125491,ANA,D,Cam Fowler,8.43,18.93,-1.89,5.52,101.92,,,,,,,
CBS,2021-01-07 08:20:41.125491,EDM,D,Darnell Nurse,4.18,24.19,0.5,1.8,129.05,,,,,,,
CBS,2021-01-07 08:20:41.125491,NYI,D,Ryan Pulock,7.56,20.7,-1.83,4.99,130.69,,,,,,,
CBS,2021-01-07 08:20:41.125491,PHI,D,Erik Gustafsson,4.78,20.02,3.96,5.57,78.99,,,,,,,
CBS,2021-01-07 08:20:41.125491,LV,D,Alec Martinez,4.93,16.24,12.15,4.7,116.81,,,,,,,
