team,age,name,line,ppu,position_yahoo,position,rollup,vorp,adp,pr_vorp,pr_adp,pr_arbitrage,round,goals,assists,powerplay_points,shots_on_goal,hits,blocks,game_winning_goals,wins,save_percentage,saves,shutouts
Wpg,26.0,Neal Pionk,2.0,2.0,D,D,36.2,4.1,106.2,12.5,22.0,9.5,9.0,6.065,42.435,18.115,169.715,180.4,98.8,0.8,,,,
Dal,29.0,John Klingberg,2.0,1.0,D,D,30.7,-1.4,107.0,26.0,23.0,-3.0,9.0,10.775,42.19,17.67,163.545,56.8,82.7,2.2,,,,
StL,30.0,Brayden Schenn,3.0,2.0,"C,RW",RW,33.0,-7.1,107.2,19.5,20.0,0.5,9.0,24.875,33.17,13.235,160.315,137.4,36.0,4.2,,,,
Pit,35.0,Evgeni Malkin,,,C,C,28.4,-14.6,107.3,39.0,28.0,-11.0,9.0,20.8,44.52,17.03,158.175,34.3,21.1,3.0,,,,
Pit,29.0,Bryan Rust,3.0,1.0,"LW,RW",RW,39.8,-0.3,109.4,8.0,21.0,13.0,10.0,34.89,33.42,14.745,218.54,98.8,48.7,5.5,,,,
Fla,25.0,Sam Bennett,2.0,1.0,"C,LW",LW,29.7,-11.8,109.6,28.0,16.0,-12.0,10.0,21.115,24.68,5.27,200.72,174.1,30.8,3.5,,,,
Col,,Andre Burakovsky,2.0,2.0,"LW,RW",LW,28.2,-13.2,111.6,31.0,17.0,-14.0,10.0,26.4,34.985,13.635,157.915,36.0,31.8,3.9,,,,
Fla,27.0,MacKenzie Weegar,1.0,2.0,D,D,13.9,-18.2,111.7,76.0,24.0,-52.0,10.0,12.47,37.53,1.88,170.32,,,,,,,
Cls,,Zach Werenski,1.0,1.0,D,D,29.8,-2.3,112.8,28.5,25.0,-3.5,10.0,18.825,27.695,11.675,196.015,56.8,84.7,2.8,,,,
StL,29.0,Vladimir Tarasenko,2.0,1.0,RW,RW,30.2,-9.9,114.1,28.0,22.0,-6.0,10.0,21.75,32.51,11.875,209.9,81.3,37.1,3.0,,,,
Pit,26.0,Tristan Jarry,,,G,G,69.5,0.1,115.1,14.0,23.0,9.0,10.0,,,,,,,,35.135,0.909,1664.03,3.95
